size,calories,sugar_g,caffeine_mg,calories_per_ml
1 scoop,27.5,2.5,12.5,inf
1 shot,5.0,0.0,75.0,inf
doppio,16.428571428571427,0.14285714285714285,150.0,inf
grande,247.9131736526946,37.68862275449102,93.2934131736527,0.5241293311896291
quad,27.857142857142858,0.14285714285714285,300.0,inf
short,116.4390243902439,14.609756097560975,59.91869918699187,0.4933856965688301
solo,10.0,0.14285714285714285,75.0,inf
tall,182.28930817610063,27.59119496855346,62.100628930817614,0.5149415485200582
trenta,182.61904761904762,41.523809523809526,120.95238095238095,0.20588393192677296
triple,22.142857142857142,0.14285714285714285,225.0,inf
venti,320.1375,50.309375,122.46875,0.4844778369238626
